!Postprocessed file of ice storage.
!File processed with plotMatplotlib.py at 28-06-2021 11:52:53
! (2) T-$PRdInKW$-sort (3) cum-$PRdInKW$ (4) T-$PRdInKW$-sort (5) cum-$PRdInKW$ 
100 55.000000 0.003275 40.312320 0.038142 
200 55.000000 0.006887 41.072225 0.072226 
300 55.000000 0.014181 41.668535 0.102813 
400 55.000000 0.014181 42.218415 0.132731 
500 55.000000 0.014181 42.378386 0.159664 
600 55.000000 0.016691 42.522019 0.187449 
700 55.000000 0.019653 42.674207 0.215435 
800 55.000000 0.028355 42.924471 0.242668 
900 55.000000 0.030500 43.299120 0.267988 
1000 55.000000 0.031441 43.406296 0.293394 
1100 55.000000 0.036029 43.505915 0.320541 
1200 55.000000 0.036029 43.741593 0.346006 
1300 55.000000 0.036029 44.142018 0.368663 
1400 55.000000 0.036029 44.247442 0.390409 
1500 55.000000 0.036029 44.325897 0.412999 
1600 55.000000 0.036029 44.395124 0.436552 
1700 55.000000 0.036029 44.489660 0.460222 
1800 55.000000 0.036029 44.768957 0.482578 
1900 55.000000 0.036029 45.069671 0.501714 
2000 55.000000 0.036029 45.175869 0.520856 
2100 55.000000 0.036029 45.266523 0.540749 
2200 55.000000 0.038366 45.340233 0.561809 
2300 55.000000 0.063149 45.414930 0.582708 
2400 55.000000 0.082500 45.677996 0.601800 
2500 55.000000 0.104658 45.925371 0.619558 
2600 55.000000 0.126321 46.055892 0.636828 
2700 55.000000 0.149056 46.152807 0.654398 
2800 55.000000 0.176342 46.205153 0.672593 
2900 55.000000 0.200881 46.247245 0.690896 
3000 55.000000 0.221118 46.278278 0.709140 
3100 55.000000 0.242942 46.314598 0.727321 
3200 55.000000 0.263552 46.354848 0.745484 
3300 55.000000 0.282774 46.448560 0.763577 
3400 55.000000 0.294003 46.876092 0.779840 
3500 55.000000 0.305589 47.121818 0.794364 
3600 55.000000 0.321914 47.200764 0.809713 
3700 55.000000 0.330725 47.261621 0.825006 
3800 55.000000 0.343585 47.377031 0.840152 
3900 55.000000 0.359865 47.767718 0.853531 
4000 55.000000 0.375334 48.044917 0.866129 
4100 55.000000 0.392416 48.118486 0.878486 
4200 55.000000 0.406931 48.154381 0.890785 
4300 55.000000 0.420509 48.203814 0.903028 
4400 55.000000 0.430703 48.272587 0.915265 
4500 55.000000 0.446461 48.509125 0.927545 
4600 55.000000 0.462759 49.070708 0.938423 
4700 55.000000 0.483539 49.257275 0.947781 
4800 55.000000 0.507161 49.804595 0.957991 
4900 55.000000 0.525025 50.177509 0.965369 
5000 55.000000 0.543911 50.464010 0.973234 
5100 55.000000 0.557748 50.953596 0.980897 
5200 55.000000 0.564581 51.468549 0.986739 
5300 55.000000 0.583448 51.554313 0.992966 
5400 55.000000 0.601966 52.527736 0.996666 
5500 55.000000 0.618986 53.343558 0.999780 
5600 55.000000 0.643543 54.999999 1.000000 
5700 55.000000 0.664997 55.000000 1.000000 
5800 55.000000 0.688287 55.000000 1.000000 
5900 55.000000 0.713335 55.000000 1.000000 
6000 55.000000 0.745386 55.000000 1.000000 
6100 55.000000 0.769586 55.000000 1.000000 
6200 55.000000 0.789343 55.000000 1.000000 
6300 55.000000 0.808145 55.000000 1.000000 
6400 55.000000 0.829995 55.000000 1.000000 
6500 55.000000 0.853800 55.000000 1.000000 
6600 55.000000 0.871899 55.000000 1.000000 
6700 55.000000 0.872891 55.000000 1.000000 
6800 55.000000 0.873156 55.000000 1.000000 
6900 55.000000 0.876947 55.000000 1.000000 
7000 55.000000 0.878630 55.000000 1.000000 
7100 55.000000 0.880003 55.000000 1.000000 
7200 55.000000 0.880066 55.000000 1.000000 
7300 55.000000 0.880066 55.000000 1.000000 
7400 55.000000 0.880160 55.000000 1.000000 
7500 55.000000 0.884752 55.000000 1.000000 
7600 55.000000 0.885137 55.000000 1.000000 
7700 55.000000 0.891303 55.000000 1.000000 
7800 55.000000 0.905843 55.000000 1.000000 
7900 55.000000 0.913944 55.000000 1.000000 
8000 55.000000 0.920029 55.000000 1.000000 
8100 55.000000 0.928075 55.000000 1.000000 
8200 55.000000 0.944661 55.000000 1.000000 
8300 55.000000 0.954141 55.000000 1.000000 
8400 55.000000 0.961090 55.000000 1.000000 
8500 55.000000 0.965686 55.000000 1.000000 
8600 55.000000 0.979597 55.000000 1.000000 
8700 55.000000 0.991181 55.000000 1.000000 
8759 55.000000 1.000000 55.000000 1.000000 
