time.yy;time.mm;time.dd;time.hh;tre200h0;gls;str.diffus;ground_temp
2018;6;1;0;12.1;0;0;7.599545778
2018;6;1;1;10.6;0;0;7.601333229
2018;6;1;2;9.7;0;0;7.603120667
2018;6;1;3;9.1;1;0;7.604908092
2018;6;1;4;8.8;33;25;7.606695503
2018;6;1;5;9.7;154;63;7.608482899
2018;6;1;6;10.9;329;84;7.61027028
2018;6;1;7;12.5;504;93;7.612057645
2018;6;1;8;14;624;176;7.613844991
2018;6;1;9;15.3;717;299;7.61563232
2018;6;1;10;16.7;817;273;7.617419629
2018;6;1;11;17.9;903;236;7.619206918
2018;6;1;12;19.2;786;380;7.620994186
2018;6;1;13;19.9;734;327;7.622781432
2018;6;1;14;20.8;660;237;7.624568655
2018;6;1;15;20.6;548;210;7.626355855
2018;6;1;16;20.6;268;209;7.62814303
2018;6;1;17;20;138;129;7.629930179
2018;6;1;18;19.6;84;57;7.631717302
2018;6;1;19;16.7;6;6;7.633504398
2018;6;1;20;15.5;1;0;7.635291465
2018;6;1;21;15.6;0;0;7.637078503
2018;6;1;22;15.5;1;0;7.638865512
2018;6;1;23;15.4;1;0;7.640652489
2018;6;2;0;15.1;0;0;7.642439435
2018;6;2;1;13.8;1;0;7.644226348
2018;6;2;2;13.6;0;0;7.646013227
2018;6;2;3;13.9;1;0;7.647800072
2018;6;2;4;13.6;19;19;7.649586882
2018;6;2;5;14.5;120;84;7.651373655
2018;6;2;6;16.1;190;159;7.653160392
2018;6;2;7;17.2;345;245;7.65494709
2018;6;2;8;19.4;547;288;7.656733749
2018;6;2;9;21;613;363;7.658520368
2018;6;2;10;22;829;298;7.660306947
2018;6;2;11;23.5;909;230;7.662093484
2018;6;2;12;24;824;331;7.663879979
2018;6;2;13;24.6;811;272;7.66566643
2018;6;2;14;25;602;336;7.667452837
2018;6;2;15;24.2;372;294;7.669239198
2018;6;2;16;23.7;191;183;7.671025514
2018;6;2;17;23;101;101;7.672811782
2018;6;2;18;21.4;39;39;7.674598003
2018;6;2;19;20.5;4;4;7.676384175
2018;6;2;20;18.1;0;0;7.678170297
2018;6;2;21;17.2;0;0;7.679956368
2018;6;2;22;16.8;0;0;7.681742388
2018;6;2;23;15;0;0;7.683528356
2018;6;3;0;14.2;0;0;7.685314271
2018;6;3;1;14;0;0;7.687100131
2018;6;3;2;13.7;0;0;7.688885936
2018;6;3;3;13.2;0;0;7.690671686
2018;6;3;4;13.2;11;11;7.692457378
2018;6;3;5;13.1;23;23;7.694243013
2018;6;3;6;13.4;54;54;7.696028589
2018;6;3;7;13.7;77;77;7.697814106
2018;6;3;8;14.1;116;116;7.699599562
2018;6;3;9;14;118;118;7.701384957
2018;6;3;10;14.8;176;175;7.70317029
2018;6;3;11;15.6;441;428;7.704955559
2018;6;3;12;17.5;662;396;7.706740765
2018;6;3;13;18.7;657;387;7.708525906
2018;6;3;14;19.9;636;291;7.710310981
2018;6;3;15;20.1;531;225;7.712095989
2018;6;3;16;20.5;269;213;7.71388093
2018;6;3;17;20.1;167;129;7.715665802
2018;6;3;18;18.9;66;57;7.717450605
2018;6;3;19;16.9;9;9;7.719235338
2018;6;3;20;16.1;0;0;7.721019999
2018;6;3;21;15.5;0;0;7.722804589
2018;6;3;22;15.6;1;0;7.724589106
2018;6;3;23;15.7;0;0;7.726373548
2018;6;4;0;15.8;0;0;7.728157916
2018;6;4;1;15.8;1;0;7.729942209
2018;6;4;2;15.1;0;0;7.731726425
2018;6;4;3;13.5;2;0;7.733510563
2018;6;4;4;13.3;34;28;7.735294624
2018;6;4;5;14.6;114;85;7.737078605
2018;6;4;6;16.3;283;142;7.738862506
2018;6;4;7;18;345;253;7.740646326
2018;6;4;8;19.1;436;333;7.742430064
2018;6;4;9;20.3;576;382;7.744213719
2018;6;4;10;21;710;386;7.745997291
2018;6;4;11;22.4;876;296;7.747780778
2018;6;4;12;23.8;865;237;7.74956418
2018;6;4;13;24.8;795;230;7.751347495
2018;6;4;14;25.1;689;228;7.753130724
2018;6;4;15;25.6;542;233;7.754913864
2018;6;4;16;25.3;222;204;7.756696915
2018;6;4;17;24.9;227;121;7.758479876
2018;6;4;18;24;79;59;7.760262746
2018;6;4;19;21.5;4;4;7.762045525
2018;6;4;20;20.3;0;0;7.763828211
2018;6;4;21;18.4;0;0;7.765610804
2018;6;4;22;19.2;0;0;7.767393302
2018;6;4;23;20;0;0;7.769175705
2018;6;5;0;17.7;1;0;7.770958012
2018;6;5;1;16;0;0;7.772740222
2018;6;5;2;15.1;0;0;7.774522333
2018;6;5;3;14.5;1;0;7.776304346
2018;6;5;4;15.2;22;22;7.77808626
2018;6;5;5;16.3;71;71;7.779868072
2018;6;5;6;17.6;223;163;7.781649783
2018;6;5;7;18.8;351;246;7.783431392
2018;6;5;8;20.3;291;263;7.785212898
2018;6;5;9;22.2;551;350;7.786994299
2018;6;5;10;24.2;588;402;7.788775595
2018;6;5;11;25.7;772;370;7.790556785
2018;6;5;12;27.3;825;334;7.792337869
2018;6;5;13;27.9;716;343;7.794118844
2018;6;5;14;28.3;536;370;7.795899711
2018;6;5;15;27.8;333;281;7.797680469
2018;6;5;16;26.4;163;159;7.799461116
2018;6;5;17;25.6;98;98;7.801241651
2018;6;5;18;23.9;49;49;7.803022075
2018;6;5;19;22.3;6;6;7.804802385
2018;6;5;20;21;0;0;7.806582581
2018;6;5;21;19.7;0;0;7.808362663
2018;6;5;22;18.9;0;0;7.810142629
2018;6;5;23;18;0;0;7.811922478
2018;6;6;0;17.5;0;0;7.813702209
2018;6;6;1;16.6;0;0;7.815481822
2018;6;6;2;15.9;0;0;7.817261316
2018;6;6;3;15.7;0;0;7.819040689
2018;6;6;4;15.5;27;24;7.820819941
2018;6;6;5;16.1;67;67;7.822599071
2018;6;6;6;18.4;256;169;7.824378079
2018;6;6;7;21.2;346;247;7.826156962
2018;6;6;8;23.6;560;292;7.827935721
2018;6;6;9;24.6;438;340;7.829714354
2018;6;6;10;26;598;399;7.831492861
2018;6;6;11;27.4;725;429;7.83327124
2018;6;6;12;27.9;599;421;7.835049492
2018;6;6;13;27.7;495;392;7.836827613
2018;6;6;14;26.3;235;225;7.838605605
2018;6;6;15;25;73;73;7.840383466
2018;6;6;16;19.5;48;48;7.842161196
2018;6;6;17;20.1;192;125;7.843938792
2018;6;6;18;20.4;64;58;7.845716255
2018;6;6;19;19.2;4;4;7.847493583
2018;6;6;20;18.4;1;0;7.849270776
2018;6;6;21;18.1;2;0;7.851047833
2018;6;6;22;18.3;0;0;7.852824753
2018;6;6;23;17.7;0;0;7.854601534
2018;6;7;0;17.3;0;0;7.856378177
2018;6;7;1;17;2;0;7.858154679
2018;6;7;2;17.1;0;0;7.859931041
2018;6;7;3;17;0;0;7.861707262
2018;6;7;4;17;4;4;7.86348334
2018;6;7;5;17.1;29;29;7.865259274
2018;6;7;6;17.8;145;141;7.867035064
2018;6;7;7;18.8;409;249;7.868810709
2018;6;7;8;20.3;579;244;7.870586208
2018;6;7;9;21;732;317;7.87236156
2018;6;7;10;20.5;394;340;7.874136765
2018;6;7;11;19.6;273;271;7.87591182
2018;6;7;12;18.3;82;82;7.877686726
2018;6;7;13;18.1;114;114;7.879461481
2018;6;7;14;17.4;46;46;7.881236085
2018;6;7;15;16.1;37;37;7.883010537
2018;6;7;16;15.5;46;46;7.884784836
2018;6;7;17;15.1;29;29;7.88655898
2018;6;7;18;15;12;12;7.888332969
2018;6;7;19;15;5;5;7.890106803
2018;6;7;20;14.5;1;0;7.89188048
2018;6;7;21;13.8;1;0;7.893653999
2018;6;7;22;13.1;0;0;7.89542736
2018;6;7;23;13.1;1;0;7.897200562
2018;6;8;0;12.9;2;0;7.898973603
2018;6;8;1;12.2;0;0;7.900746483
2018;6;8;2;11;1;0;7.902519201
2018;6;8;3;11.1;0;0;7.904291756
2018;6;8;4;11.2;29;26;7.906064147
2018;6;8;5;12.4;152;71;7.907836373
2018;6;8;6;13.8;279;141;7.909608434
2018;6;8;7;14.9;474;163;7.911380328
2018;6;8;8;16.1;716;229;7.913152055
2018;6;8;9;16.9;633;335;7.914923614
2018;6;8;10;17.3;597;417;7.916695004
2018;6;8;11;18;764;295;7.918466223
2018;6;8;12;18.8;716;434;7.920237272
2018;6;8;13;19;582;403;7.922008148
2018;6;8;14;19.6;641;292;7.923778852
2018;6;8;15;20;524;237;7.925549383
2018;6;8;16;19.6;343;202;7.927319739
2018;6;8;17;19.4;199;144;7.929089919
2018;6;8;18;18.7;116;78;7.930859924
2018;6;8;19;15.9;7;7;7.932629751
2018;6;8;20;13.5;0;0;7.9343994
2018;6;8;21;12.6;0;0;7.93616887
2018;6;8;22;12;0;0;7.937938161
2018;6;8;23;12;0;0;7.93970727
2018;6;9;0;11.4;0;0;7.941476199
2018;6;9;1;10.6;0;0;7.943244944
2018;6;9;2;9.8;0;0;7.945013507
2018;6;9;3;9.7;2;0;7.946781885
2018;6;9;4;10.1;33;26;7.948550078
2018;6;9;5;11.1;88;79;7.950318085
2018;6;9;6;13.1;344;138;7.952085905
2018;6;9;7;15.4;511;85;7.953853538
2018;6;9;8;17;656;122;7.955620982
2018;6;9;9;18.5;751;213;7.957388236
2018;6;9;10;19.9;798;315;7.9591553
2018;6;9;11;21.2;726;408;7.960922172
2018;6;9;12;20.2;418;401;7.962688852
2018;6;9;13;20;349;311;7.96445534
2018;6;9;14;21.3;568;372;7.966221633
2018;6;9;15;22.5;572;204;7.967987731
2018;6;9;16;22.9;381;189;7.969753634
2018;6;9;17;21.9;157;133;7.97151934
2018;6;9;18;20.8;62;60;7.973284848
2018;6;9;19;19;13;13;7.975050159
2018;6;9;20;16.9;0;0;7.976815269
2018;6;9;21;15.8;0;0;7.97858018
2018;6;9;22;15;0;0;7.98034489
2018;6;9;23;14.7;2;0;7.982109398
2018;6;10;0;14.7;0;0;7.983873703
2018;6;10;1;13.9;0;0;7.985637804
2018;6;10;2;13.7;1;0;7.987401701
2018;6;10;3;14;2;0;7.989165392
2018;6;10;4;14.2;23;23;7.990928877
2018;6;10;5;15.6;115;87;7.992692154
2018;6;10;6;17.3;268;167;7.994455224
2018;6;10;7;18.7;203;196;7.996218084
2018;6;10;8;17.5;130;130;7.997980735
2018;6;10;9;17.7;147;147;7.999743175
2018;6;10;10;15.2;57;57;8.001505403
2018;6;10;11;15.1;83;83;8.003267419
2018;6;10;12;15;112;112;8.005029221
2018;6;10;13;15.1;134;134;8.006790809
2018;6;10;14;15.2;90;90;8.008552182
2018;6;10;15;15;70;70;8.010313339
2018;6;10;16;14.7;130;130;8.012074279
2018;6;10;17;15.4;194;123;8.013835001
2018;6;10;18;15.1;58;58;8.015595505
2018;6;10;19;14.6;11;11;8.017355788
2018;6;10;20;13.7;2;0;8.019115852
2018;6;10;21;13.1;0;0;8.020875694
2018;6;10;22;13.2;2;0;8.022635313
2018;6;10;23;13.2;1;0;8.02439471
2018;6;11;0;12.7;3;0;8.026153883
2018;6;11;1;12.6;2;0;8.027912831
2018;6;11;2;12.2;0;0;8.029671553
2018;6;11;3;11.6;1;0;8.031430048
2018;6;11;4;11.5;12;12;8.033188316
2018;6;11;5;11.5;28;28;8.034946356
2018;6;11;6;11.9;88;88;8.036704166
2018;6;11;7;12.2;148;148;8.038461746
2018;6;11;8;12.6;272;266;8.040219095
2018;6;11;9;13.3;436;364;8.041976212
2018;6;11;10;14.4;665;418;8.043733097
2018;6;11;11;13;340;334;8.045489747
2018;6;11;12;12.6;481;414;8.047246163
2018;6;11;13;12.8;515;423;8.049002344
2018;6;11;14;13.4;410;336;8.050758288
2018;6;11;15;11.6;121;121;8.052513996
2018;6;11;16;9.8;80;80;8.054269465
2018;6;11;17;10.6;126;122;8.056024695
2018;6;11;18;10;23;23;8.057779685
2018;6;11;19;9.2;4;4;8.059534435
2018;6;11;20;9.4;0;0;8.061288943
2018;6;11;21;9;0;0;8.063043209
2018;6;11;22;8.8;1;0;8.064797231
2018;6;11;23;8.7;0;0;8.066551009
2018;6;12;0;8.6;0;0;8.068304542
2018;6;12;1;8.6;0;0;8.070057829
2018;6;12;2;8.6;1;0;8.071810869
2018;6;12;3;8.5;0;0;8.073563661
2018;6;12;4;8.1;18;18;8.075316205
2018;6;12;5;8.3;56;56;8.077068499
2018;6;12;6;8.7;64;64;8.078820543
2018;6;12;7;9.2;88;88;8.080572335
2018;6;12;8;9.8;141;141;8.082323876
2018;6;12;9;10.4;182;181;8.084075163
2018;6;12;10;10.1;133;133;8.085826197
2018;6;12;11;9.6;138;138;8.087576976
