time.yy;time.mm;time.dd;time.hh;tre200h0;gls;str.diffus;ground_temp
2000;1;1;0;-0.1;1;0;6.238265132
2000;1;1;1;0;0;0;6.236708409
2000;1;1;2;0.1;3;0;6.235152395
2000;1;1;3;0;0;0;6.23359709
2000;1;1;4;-0.2;0;0;6.232042495
2000;1;1;5;0.1;1;0;6.230488611
2000;1;1;6;0.1;0;0;6.22893544
2000;1;1;7;0.2;3;0;6.22738298
2000;1;1;8;0.4;43;43;6.225831235
2000;1;1;9;0.8;130;100;6.224280203
2000;1;1;10;0.9;171;135;6.222729887
2000;1;1;11;2.3;347;163;6.221180287
2000;1;1;12;2.9;202;154;6.219631404
2000;1;1;13;2.5;149;129;6.218083238
2000;1;1;14;2.6;66;66;6.216535791
2000;1;1;15;2.4;26;26;6.214989063
2000;1;1;16;2.1;2;0;6.213443055
2000;1;1;17;1.7;0;0;6.211897768
2000;1;1;18;1.8;0;0;6.210353202
2000;1;1;19;2;0;0;6.208809359
2000;1;1;20;2;0;0;6.20726624
2000;1;1;21;2;2;0;6.205723844
2000;1;1;22;1.7;0;0;6.204182174
2000;1;1;23;1.6;0;0;6.202641229
2000;1;2;0;0.6;0;0;6.201101011
2000;1;2;1;-0.1;0;0;6.199561521
2000;1;2;2;0.4;2;0;6.198022759
2000;1;2;3;0.9;0;0;6.196484725
2000;1;2;4;1.3;0;0;6.194947422
2000;1;2;5;1.7;1;0;6.193410849
2000;1;2;6;1.7;0;0;6.191875008
2000;1;2;7;1.9;4;0;6.190339899
2000;1;2;8;2.2;58;58;6.188805523
2000;1;2;9;2.4;209;92;6.187271881
2000;1;2;10;3;264;95;6.185738973
2000;1;2;11;3.9;323;94;6.184206802
2000;1;2;12;3.4;225;152;6.182675366
2000;1;2;13;4;199;107;6.181144668
2000;1;2;14;3.5;80;77;6.179614708
2000;1;2;15;2.7;28;28;6.178085486
2000;1;2;16;2.4;1;0;6.176557004
2000;1;2;17;2.4;0;0;6.175029262
2000;1;2;18;2.3;0;0;6.173502262
2000;1;2;19;2.2;1;0;6.171976004
2000;1;2;20;2;0;0;6.170450488
2000;1;2;21;1.9;1;0;6.168925716
2000;1;2;22;1.9;0;0;6.167401689
2000;1;2;23;1.8;0;0;6.165878406
2000;1;3;0;1.7;1;0;6.16435587
2000;1;3;1;1.4;0;0;6.162834081
2000;1;3;2;1.4;1;0;6.161313039
2000;1;3;3;1.4;0;0;6.159792746
2000;1;3;4;1.3;0;0;6.158273202
2000;1;3;5;1.2;0;0;6.156754408
2000;1;3;6;1.2;1;0;6.155236364
2000;1;3;7;1;3;0;6.153719073
2000;1;3;8;0.8;26;26;6.152202534
2000;1;3;9;1;61;61;6.150686748
2000;1;3;10;1.3;114;113;6.149171716
2000;1;3;11;1.4;156;143;6.147657439
2000;1;3;12;1.6;230;140;6.146143918
2000;1;3;13;1.4;285;83;6.144631153
2000;1;3;14;0.5;180;66;6.143119146
2000;1;3;15;-0.1;55;30;6.141607897
2000;1;3;16;-1;1;0;6.140097406
2000;1;3;17;-1.6;0;0;6.138587675
2000;1;3;18;-1.7;0;0;6.137078705
2000;1;3;19;-2;0;0;6.135570496
2000;1;3;20;-2.6;1;0;6.134063048
2000;1;3;21;-2.9;0;0;6.132556364
2000;1;3;22;-2.7;1;0;6.131050443
2000;1;3;23;-3.1;0;0;6.129545287
2000;1;4;0;-3.3;1;0;6.128040896
2000;1;4;1;-3.1;0;0;6.126537271
2000;1;4;2;-2.6;0;0;6.125034413
2000;1;4;3;-1.9;1;0;6.123532323
2000;1;4;4;-1.5;0;0;6.122031001
2000;1;4;5;-1.1;0;0;6.120530448
2000;1;4;6;-1.9;1;0;6.119030665
2000;1;4;7;-2.4;4;0;6.117531653
2000;1;4;8;-2.6;46;46;6.116033413
2000;1;4;9;-2.4;99;91;6.114535945
2000;1;4;10;-1.9;152;136;6.11303925
2000;1;4;11;-1.5;160;157;6.111543329
2000;1;4;12;-1.1;187;158;6.110048183
2000;1;4;13;-0.7;143;128;6.108553812
2000;1;4;14;-0.6;83;82;6.107060218
2000;1;4;15;-0.3;27;27;6.105567401
2000;1;4;16;-0.8;1;0;6.104075361
2000;1;4;17;-1.4;0;0;6.102584101
2000;1;4;18;-0.9;1;0;6.10109362
2000;1;4;19;-0.1;0;0;6.099603919
2000;1;4;20;0.3;0;0;6.098114999
2000;1;4;21;1.1;0;0;6.096626861
2000;1;4;22;1.2;0;0;6.095139506
2000;1;4;23;1.3;0;0;6.093652934
2000;1;5;0;1.5;0;0;6.092167147
2000;1;5;1;1.8;0;0;6.090682144
2000;1;5;2;2;0;0;6.089197927
2000;1;5;3;2;0;0;6.087714497
2000;1;5;4;2.3;0;0;6.086231854
2000;1;5;5;2.5;0;0;6.084749999
2000;1;5;6;2.4;2;0;6.083268934
2000;1;5;7;2.7;1;0;6.081788657
2000;1;5;8;2.4;30;30;6.080309172
2000;1;5;9;2.8;55;55;6.078830477
2000;1;5;10;3;70;70;6.077352575
2000;1;5;11;3.9;192;147;6.075875466
2000;1;5;12;4.5;148;139;6.07439915
2000;1;5;13;4.9;177;121;6.072923628
2000;1;5;14;5.4;184;103;6.071448902
2000;1;5;15;4.7;40;30;6.069974971
2000;1;5;16;2.9;0;0;6.068501838
2000;1;5;17;2.4;0;0;6.067029501
2000;1;5;18;1.9;2;0;6.065557964
2000;1;5;19;0.9;0;0;6.064087225
2000;1;5;20;0.4;2;0;6.062617286
2000;1;5;21;0.3;0;0;6.061148147
2000;1;5;22;0.5;0;0;6.05967981
2000;1;5;23;0.6;1;0;6.058212276
2000;1;6;0;0.9;0;0;6.056745544
2000;1;6;1;1.3;0;0;6.055279616
2000;1;6;2;1.7;2;0;6.053814492
2000;1;6;3;1.7;0;0;6.052350174
2000;1;6;4;1.7;0;0;6.050886661
2000;1;6;5;1.4;1;0;6.049423956
2000;1;6;6;1.2;0;0;6.047962058
2000;1;6;7;0.6;5;0;6.046500968
2000;1;6;8;0.7;29;29;6.045040688
2000;1;6;9;1.2;48;48;6.043581217
2000;1;6;10;1.9;118;116;6.042122558
2000;1;6;11;2.4;85;85;6.040664709
2000;1;6;12;2.9;79;79;6.039207673
2000;1;6;13;2.9;63;63;6.03775145
2000;1;6;14;3;43;43;6.03629604
2000;1;6;15;2.8;21;21;6.034841446
2000;1;6;16;2.4;2;0;6.033387666
2000;1;6;17;1.5;1;0;6.031934702
2000;1;6;18;1;0;0;6.030482556
2000;1;6;19;0.8;1;0;6.029031227
2000;1;6;20;0.8;0;0;6.027580716
2000;1;6;21;0.4;1;0;6.026131024
2000;1;6;22;0.4;0;0;6.024682153
2000;1;6;23;0.4;2;0;6.023234102
2000;1;7;0;-0.4;0;0;6.021786872
2000;1;7;1;-0.6;0;0;6.020340465
2000;1;7;2;-0.5;1;0;6.01889488
2000;1;7;3;-0.5;0;0;6.01745012
2000;1;7;4;-0.6;0;0;6.016006184
2000;1;7;5;-0.3;2;0;6.014563073
2000;1;7;6;-0.1;0;0;6.013120788
2000;1;7;7;0.3;3;0;6.01167933
2000;1;7;8;0.3;42;42;6.010238699
2000;1;7;9;1;181;90;6.008798897
2000;1;7;10;2;287;70;6.007359924
2000;1;7;11;3.4;322;65;6.00592178
2000;1;7;12;4.6;327;63;6.004484468
2000;1;7;13;5.5;280;59;6.003047986
2000;1;7;14;5.7;181;67;6.001612337
2000;1;7;15;4.7;44;34;6.00017752
2000;1;7;16;3.5;2;0;5.998743537
2000;1;7;17;1.7;0;0;5.997310389
2000;1;7;18;1;0;0;5.995878076
2000;1;7;19;0.4;0;0;5.994446598
2000;1;7;20;0.3;0;0;5.993015957
2000;1;7;21;-0.1;0;0;5.991586154
2000;1;7;22;-0.8;0;0;5.990157189
2000;1;7;23;-1.1;0;0;5.988729063
2000;1;8;0;-1.2;1;0;5.987301776
2000;1;8;1;-1.5;0;0;5.98587533
2000;1;8;2;-1.5;0;0;5.984449725
2000;1;8;3;-1.2;1;0;5.983024962
2000;1;8;4;-1;0;0;5.981601041
2000;1;8;5;-1;0;0;5.980177964
2000;1;8;6;-0.7;2;0;5.978755732
2000;1;8;7;-0.6;1;0;5.977334344
2000;1;8;8;-0.7;38;38;5.975913802
2000;1;8;9;0.4;28;28;5.974494106
2000;1;8;10;0.9;173;118;5.973075258
2000;1;8;11;1.7;302;143;5.971657257
2000;1;8;12;2.8;345;85;5.970240105
2000;1;8;13;3.6;281;85;5.968823803
2000;1;8;14;4;145;82;5.967408351
2000;1;8;15;3.5;31;31;5.96599375
2000;1;8;16;2.1;2;0;5.96458
2000;1;8;17;1.7;0;0;5.963167103
2000;1;8;18;1.5;0;0;5.961755059
