time.yy;time.mm;time.dd;time.hh;tre200h0;gls
2000;1;1;0;-0.1;1
2000;1;1;1;0;0
2000;1;1;2;0.1;3
2000;1;1;3;0;0
2000;1;1;4;-0.2;0
2000;1;1;5;0.1;1
2000;1;1;6;0.1;0
2000;1;1;7;0.2;3
2000;1;1;8;0.4;43
2000;1;1;9;0.8;130
2000;1;1;10;0.9;171
2000;1;1;11;2.3;347
2000;1;1;12;2.9;202
2000;1;1;13;2.5;149
2000;1;1;14;2.6;66
2000;1;1;15;2.4;26
2000;1;1;16;2.1;2
2000;1;1;17;1.7;0
2000;1;1;18;1.8;0
2000;1;1;19;2;0
2000;1;1;20;2;0
2000;1;1;21;2;2
2000;1;1;22;1.7;0
2000;1;1;23;1.6;0
2000;1;2;0;0.6;0
2000;1;2;1;-0.1;0
2000;1;2;2;0.4;2
2000;1;2;3;0.9;0
2000;1;2;4;1.3;0
2000;1;2;5;1.7;1
2000;1;2;6;1.7;0
2000;1;2;7;1.9;4
2000;1;2;8;2.2;58
2000;1;2;9;2.4;209
2000;1;2;10;3;264
2000;1;2;11;3.9;323
2000;1;2;12;3.4;225
2000;1;2;13;4;199
2000;1;2;14;3.5;80
2000;1;2;15;2.7;28
2000;1;2;16;2.4;1
2000;1;2;17;2.4;0
2000;1;2;18;2.3;0
2000;1;2;19;2.2;1
2000;1;2;20;2;0
2000;1;2;21;1.9;1
2000;1;2;22;1.9;0
2000;1;2;23;1.8;0
2000;1;3;0;1.7;1
2000;1;3;1;1.4;0
2000;1;3;2;1.4;1
2000;1;3;3;1.4;0
2000;1;3;4;1.3;0
2000;1;3;5;1.2;0
2000;1;3;6;1.2;1
2000;1;3;7;1;3
2000;1;3;8;0.8;26
2000;1;3;9;1;61
2000;1;3;10;1.3;114
2000;1;3;11;1.4;156
2000;1;3;12;1.6;230
2000;1;3;13;1.4;285
2000;1;3;14;0.5;180
2000;1;3;15;-0.1;55
2000;1;3;16;-1;1
2000;1;3;17;-1.6;0
2000;1;3;18;-1.7;0
2000;1;3;19;-2;0
2000;1;3;20;-2.6;1
2000;1;3;21;-2.9;0
2000;1;3;22;-2.7;1
2000;1;3;23;-3.1;0
2000;1;4;0;-3.3;1
2000;1;4;1;-3.1;0
2000;1;4;2;-2.6;0
2000;1;4;3;-1.9;1
2000;1;4;4;-1.5;0
2000;1;4;5;-1.1;0
2000;1;4;6;-1.9;1
2000;1;4;7;-2.4;4
2000;1;4;8;-2.6;46
2000;1;4;9;-2.4;99
2000;1;4;10;-1.9;152
2000;1;4;11;-1.5;160
2000;1;4;12;-1.1;187
2000;1;4;13;-0.7;143
2000;1;4;14;-0.6;83
2000;1;4;15;-0.3;27
2000;1;4;16;-0.8;1
2000;1;4;17;-1.4;0
2000;1;4;18;-0.9;1
2000;1;4;19;-0.1;0
2000;1;4;20;0.3;0
2000;1;4;21;1.1;0
2000;1;4;22;1.2;0
2000;1;4;23;1.3;0
2000;1;5;0;1.5;0
2000;1;5;1;1.8;0
2000;1;5;2;2;0
2000;1;5;3;2;0
2000;1;5;4;2.3;0
2000;1;5;5;2.5;0
2000;1;5;6;2.4;2
2000;1;5;7;2.7;1
2000;1;5;8;2.4;30
2000;1;5;9;2.8;55
2000;1;5;10;3;70
2000;1;5;11;3.9;192
2000;1;5;12;4.5;148
2000;1;5;13;4.9;177
2000;1;5;14;5.4;184
2000;1;5;15;4.7;40
2000;1;5;16;2.9;0
2000;1;5;17;2.4;0
2000;1;5;18;1.9;2
2000;1;5;19;0.9;0
2000;1;5;20;0.4;2
2000;1;5;21;0.3;0
2000;1;5;22;0.5;0
2000;1;5;23;0.6;1
2000;1;6;0;0.9;0
2000;1;6;1;1.3;0
2000;1;6;2;1.7;2
2000;1;6;3;1.7;0
2000;1;6;4;1.7;0
2000;1;6;5;1.4;1
2000;1;6;6;1.2;0
2000;1;6;7;0.6;5
2000;1;6;8;0.7;29
2000;1;6;9;1.2;48
2000;1;6;10;1.9;118
2000;1;6;11;2.4;85
2000;1;6;12;2.9;79
2000;1;6;13;2.9;63
2000;1;6;14;3;43
2000;1;6;15;2.8;21
2000;1;6;16;2.4;2
2000;1;6;17;1.5;1
2000;1;6;18;1;0
2000;1;6;19;0.8;1
2000;1;6;20;0.8;0
2000;1;6;21;0.4;1
2000;1;6;22;0.4;0
2000;1;6;23;0.4;2
2000;1;7;0;-0.4;0
2000;1;7;1;-0.6;0
2000;1;7;2;-0.5;1
2000;1;7;3;-0.5;0
2000;1;7;4;-0.6;0
2000;1;7;5;-0.3;2
2000;1;7;6;-0.1;0
2000;1;7;7;0.3;3
2000;1;7;8;0.3;42
2000;1;7;9;1;181
2000;1;7;10;2;287
2000;1;7;11;3.4;322
2000;1;7;12;4.6;327
2000;1;7;13;5.5;280
2000;1;7;14;5.7;181
2000;1;7;15;4.7;44
2000;1;7;16;3.5;2
2000;1;7;17;1.7;0
2000;1;7;18;1;0
2000;1;7;19;0.4;0
2000;1;7;20;0.3;0
2000;1;7;21;-0.1;0
2000;1;7;22;-0.8;0
2000;1;7;23;-1.1;0
2000;1;8;0;-1.2;1
2000;1;8;1;-1.5;0
2000;1;8;2;-1.5;0
2000;1;8;3;-1.2;1
2000;1;8;4;-1;0
2000;1;8;5;-1;0
2000;1;8;6;-0.7;2
2000;1;8;7;-0.6;1
2000;1;8;8;-0.7;38
2000;1;8;9;0.4;28
2000;1;8;10;0.9;173
2000;1;8;11;1.7;302
2000;1;8;12;2.8;345
2000;1;8;13;3.6;281
2000;1;8;14;4;145
2000;1;8;15;3.5;31
2000;1;8;16;2.1;2
2000;1;8;17;1.7;0
2000;1;8;18;1.5;0
2000;1;8;19;1.1;0
2000;1;8;20;1.2;0
2000;1;8;21;1.1;0
2000;1;8;22;1.1;0
2000;1;8;23;1.1;0
2000;1;9;0;1.2;0
2000;1;9;1;1.3;0
2000;1;9;2;1.3;0
2000;1;9;3;1.4;0
2000;1;9;4;1.4;0
2000;1;9;5;1.5;2
2000;1;9;6;1.3;0
2000;1;9;7;1.1;2
