time.yy;time.mm;time.dd;time.hh;tre200h0;prestahs;ure200h0;rre150h0;fkl010h0;fkl010h1;dkl010h0;tso100hs;nto000sw;gls;str.diffus;str.direkt;str.vert.E;str.vert.S;str.vert.W;str.vert.N;bodenalbedo;ir.horizontal;ir.vertikal.S;bodenemissivitaet;dewpt;enthalpy;mixratio;wetbulb
2000;1;1;0;-0.1;958.4;83.8;0;0.1;0.6;170;5.7;NA;1;0;0;0;0;0;0;50;NA;NA;98;-2.5;8.2;3.32;-1
2000;1;1;1;0;958.7;82.3;0;0.4;1.2;215;5.7;NA;0;0;0;0;0;0;0;50;NA;NA;98;-2.6;8.2;3.28;-1
2000;1;1;2;0.1;958.4;81.7;0;0.4;1.4;80;5.7;NA;3;0;0;0;0;0;0;50;NA;NA;98;-2.6;8.3;3.28;-0.9
2000;1;1;3;0;958.1;82.8;0;0.1;0.6;215;5.7;NA;0;0;0;0;0;0;0;50;NA;NA;98;-2.6;8.2;3.3;-1
2000;1;1;4;-0.2;958.6;83.5;0;0.3;0.9;35;5.7;NA;0;0;0;0;0;0;0;50;NA;NA;98;-2.7;8;3.28;-1.1
2000;1;1;5;0.1;958.9;84.5;0;0.8;1.6;226;5.7;NA;1;0;0;0;0;0;0;50;NA;NA;98;-2.2;8.6;3.39;-0.8
2000;1;1;6;0.1;959.1;84.7;0;0.1;1.2;260;5.7;8;0;0;0;0;0;0;0;50;NA;NA;98;-2.2;8.6;3.4;-0.8
2000;1;1;7;0.2;959.4;84;0;0.3;1.2;233;5.7;NA;3;0;0;0;0;0;0;50;NA;NA;98;-2.2;8.7;3.39;-0.7
2000;1;1;8;0.4;959.8;84.2;0;0.3;0.9;204;5.7;NA;43;43;0;34;33;27;27;50;NA;NA;98;-1.9;9;3.45;-0.5
2000;1;1;9;0.8;960.1;81.4;0;0.7;2.4;58;5.7;NA;130;100;129;192;251;73;73;50;NA;NA;98;-2;9.4;3.43;-0.3
2000;1;1;10;0.9;960;80.1;0;0.3;1.7;98;5.7;NA;171;135;120;167;290;95;95;50;NA;NA;98;-2.1;9.4;3.4;-0.3
2000;1;1;11;2.3;960.1;75.1;0;0.3;1.8;215;5.7;NA;347;163;539;229;798;164;152;50;NA;NA;98;-1.6;11.1;3.53;0.8
2000;1;1;12;2.9;960;73.2;0;1;2.4;201;5.7;6;202;154;143;114;348;152;108;50;NA;NA;98;-1.4;11.9;3.59;1.2
2000;1;1;13;2.5;959.8;76.5;0;1.1;2.7;86;5.7;NA;149;129;72;85;213;141;85;50;NA;NA;98;-1.2;11.6;3.65;1
2000;1;1;14;2.6;960;77;0;0.3;2;80;5.7;NA;66;66;0;42;49;48;43;50;NA;NA;98;-1;11.9;3.7;1.1
2000;1;1;15;2.4;960.3;81.1;0;0.6;2.3;246;5.6;NA;26;26;0;17;18;18;17;50;NA;NA;98;-0.5;12;3.84;1.2
2000;1;1;16;2.1;960.4;85.4;0;0.9;2;215;5.6;NA;2;0;0;0;0;0;0;50;NA;NA;98;-0.1;12;3.95;1.2
2000;1;1;17;1.7;960.6;87.9;0;0.5;2;242;5.6;NA;0;0;0;0;0;0;0;50;NA;NA;98;-0.1;11.6;3.95;1
2000;1;1;18;1.8;960.9;87.8;0;0.8;2;221;5.6;7;0;0;0;0;0;0;0;50;NA;NA;98;0;11.7;3.98;1.1
