!Postprocessed file of ice storage.
!File processed with plotMatplotlib.py at 28-06-2021 11:52:53
! (2) T-$PRdInKW$-sort (3) cum-$PRdInKW$ (4) T-$PRdInKW$-sort (5) cum-$PRdInKW$ 
100 55.000000 0.000335 41.613811 0.069455 
200 55.000000 0.000335 42.544651 0.129797 
300 55.000000 0.000335 43.307129 0.185550 
400 55.000000 0.000335 43.656281 0.234582 
500 55.000000 0.000335 43.978870 0.285674 
600 55.000000 0.000335 44.524082 0.328259 
700 55.000000 0.000335 44.707130 0.372416 
800 55.000000 0.000335 45.070000 0.416482 
900 55.000000 0.000335 45.412655 0.454219 
1000 55.000000 0.000335 45.602064 0.493024 
1100 55.000000 0.000335 45.692263 0.533126 
1200 55.000000 0.000335 45.748687 0.573409 
1300 55.000000 0.000335 45.847732 0.613192 
1400 55.000000 0.000335 46.457471 0.646871 
1500 55.000000 0.000335 46.691329 0.680283 
1600 55.000000 0.000335 46.773546 0.713962 
1700 55.000000 0.000335 47.063317 0.745725 
1800 55.000000 0.000335 47.581715 0.773262 
1900 55.000000 0.000335 47.677220 0.800468 
2000 55.000000 0.000335 47.716425 0.827670 
2100 55.000000 0.000335 47.794903 0.854772 
2200 55.000000 0.004774 47.940750 0.881959 
2300 55.000000 0.046569 48.682869 0.907183 
2400 55.000000 0.066930 49.031814 0.927763 
2500 55.000000 0.094930 49.838564 0.946786 
2600 55.000000 0.130990 50.271948 0.964590 
2700 55.000000 0.167335 51.235145 0.978209 
2800 55.000000 0.212837 52.248054 0.990313 
2900 55.000000 0.255819 52.432253 0.997191 
3000 55.000000 0.290322 54.999999 1.000000 
3100 55.000000 0.325454 55.000000 1.000000 
3200 55.000000 0.357788 55.000000 1.000000 
3300 55.000000 0.382150 55.000000 1.000000 
3400 55.000000 0.382150 55.000000 1.000000 
3500 55.000000 0.382150 55.000000 1.000000 
3600 55.000000 0.382150 55.000000 1.000000 
3700 55.000000 0.382150 55.000000 1.000000 
3800 55.000000 0.382150 55.000000 1.000000 
3900 55.000000 0.382568 55.000000 1.000000 
4000 55.000000 0.392625 55.000000 1.000000 
4100 55.000000 0.408438 55.000000 1.000000 
4200 55.000000 0.414885 55.000000 1.000000 
4300 55.000000 0.418660 55.000000 1.000000 
4400 55.000000 0.424463 55.000000 1.000000 
4500 55.000000 0.434553 55.000000 1.000000 
4600 55.000000 0.445220 55.000000 1.000000 
4700 55.000000 0.464576 55.000000 1.000000 
4800 55.000000 0.494156 55.000000 1.000000 
4900 55.000000 0.504004 55.000000 1.000000 
5000 55.000000 0.512241 55.000000 1.000000 
5100 55.000000 0.524617 55.000000 1.000000 
5200 55.000000 0.525160 55.000000 1.000000 
5300 55.000000 0.548001 55.000000 1.000000 
5400 55.000000 0.564527 55.000000 1.000000 
5500 55.000000 0.586775 55.000000 1.000000 
5600 55.000000 0.627101 55.000000 1.000000 
5700 55.000000 0.656536 55.000000 1.000000 
5800 55.000000 0.687751 55.000000 1.000000 
5900 55.000000 0.706456 55.000000 1.000000 
6000 55.000000 0.765597 55.000000 1.000000 
6100 55.000000 0.803186 55.000000 1.000000 
6200 55.000000 0.835720 55.000000 1.000000 
6300 55.000000 0.860023 55.000000 1.000000 
6400 55.000000 0.897556 55.000000 1.000000 
6500 55.000000 0.936172 55.000000 1.000000 
6600 55.000000 0.967323 55.000000 1.000000 
6700 55.000000 0.967323 55.000000 1.000000 
6800 55.000000 0.967323 55.000000 1.000000 
6900 55.000000 0.967323 55.000000 1.000000 
7000 55.000000 0.967323 55.000000 1.000000 
7100 55.000000 0.967323 55.000000 1.000000 
7200 55.000000 0.967323 55.000000 1.000000 
7300 55.000000 0.967323 55.000000 1.000000 
7400 55.000000 0.967323 55.000000 1.000000 
7500 55.000000 0.967323 55.000000 1.000000 
7600 55.000000 0.967323 55.000000 1.000000 
7700 55.000000 0.970426 55.000000 1.000000 
7800 55.000000 0.978256 55.000000 1.000000 
7900 55.000000 0.978256 55.000000 1.000000 
8000 55.000000 0.978256 55.000000 1.000000 
8100 55.000000 0.980167 55.000000 1.000000 
8200 55.000000 0.985595 55.000000 1.000000 
8300 55.000000 0.986629 55.000000 1.000000 
8400 55.000000 0.986629 55.000000 1.000000 
8500 55.000000 0.986629 55.000000 1.000000 
8600 55.000000 0.986629 55.000000 1.000000 
8700 55.000000 0.990504 55.000000 1.000000 
8759 55.000000 1.000000 55.000000 1.000000 
